name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url,documentation
artifacts-keyring,0.3.3,pip install artifacts-keyring,2023-05-02,2023,0.0.1rc3,2023-08-01,2023,https://pypi.org/project/artifacts-keyring/,
azure-mgmt-appcontainers,2.0.0,pip install azure-mgmt-appcontainers,2023-03-20,2023,1.0.0b1,2022-05-07,2022,https://pypi.org/project/azure-mgmt-appcontainers/,
inflate64,0.3.1,pip install inflate64,2022-10-30,2022,0.1.2,2022-06-28,2022,https://pypi.org/project/inflate64/,
pycloudflared,0.2.0,pip install pycloudflared,2023-03-22,2023,0.1.0,2023-02-04,2023,https://pypi.org/project/pycloudflared/,
llama-index,0.8.5.post2,pip install llama-index,2023-08-21,2023,0.4.4,2023-02-16,2023,https://pypi.org/project/llama-index/,https://gpt-index.readthedocs.io/en/stable/
chromadb,0.4.6,pip install chromadb,2023-08-15,2023,0.0.3.dev234,2023-02-09,2023,https://pypi.org/project/chromadb/,
blackduck-direct-scan-action,1.0.1,pip install blackduck-direct-scan-action,2022-04-27,2022,1,2022-04-17,2022,https://pypi.org/project/blackduck-direct-scan-action/,
unearth,0.10.0,pip install unearth,2023-07-20,2023,0.1.0,2022-05-16,2022,https://pypi.org/project/unearth/,
bc-jsonpath-ng,1.5.9,pip install bc-jsonpath-ng,2023-02-07,2023,1.5.4,2022-12-10,2022,https://pypi.org/project/bc-jsonpath-ng/,
lightning-cloud,0.5.37,pip install lightning-cloud,2023-06-21,2023,0.5.0rc0,2022-06-15,2022,https://pypi.org/project/lightning-cloud/,
LucoPy,1.3.13,pip install LucoPy,2023-07-19,2023,1.2.0,2022-05-19,2022,https://pypi.org/project/LucoPy/,
peft,0.4.0,pip install peft,2023-07-17,2023,0.0.1,2023-01-19,2023,https://pypi.org/project/peft/,https://huggingface.co/docs/peft/index
buildkite-test-collector,0.1.7,pip install buildkite-test-collector,2023-03-23,2023,0.0.1,2022-06-28,2022,https://pypi.org/project/buildkite-test-collector/,
scikit-build-core,0.4.8,pip install scikit-build-core,2023-07-30,2023,0.1.0a0,2022-11-01,2022,https://pypi.org/project/scikit-build-core/,
soda-core-spark,3.0.48,pip install soda-core-spark,2023-08-11,2023,3.0.0rc1,2022-06-09,2022,https://pypi.org/project/soda-core-spark/,
bazel-runfiles,0.24.0,pip install bazel-runfiles,2023-07-11,2023,0.18.0,2023-02-08,2023,https://pypi.org/project/bazel-runfiles/,
python-keycloak,3.3.0,pip install python-keycloak,2023-06-27,2023,0.0.0,2022-05-19,2022,https://pypi.org/project/python-keycloak/,
opendatalab,0.0.10,pip install opendatalab,2023-08-02,2023,0.0.2,2022-08-31,2022,https://pypi.org/project/opendatalab/,
apache-airflow-providers-atlassian-jira,2.1.1,pip install apache-airflow-providers-atlassian-jira,2023-06-23,2023,1.0.0rc1,2022-09-28,2022,https://pypi.org/project/apache-airflow-providers-atlassian-jira/,
soda-core-spark-df,3.0.48,pip install soda-core-spark-df,2023-08-11,2023,3.0.0rc1,2022-06-09,2022,https://pypi.org/project/soda-core-spark-df/,
rustworkx,0.13.1,pip install rustworkx,2023-07-31,2023,0.12.0,2022-10-07,2022,https://pypi.org/project/rustworkx/,https://qiskit.org/ecosystem/rustworkx/index.html
acryl-datahub-airflow-plugin,0.10.5.5,pip install acryl-datahub-airflow-plugin,2023-08-04,2023,0.8.35.6,2022-05-26,2022,https://pypi.org/project/acryl-datahub-airflow-plugin/,
boto-session-manager,1.5.4,pip install boto-session-manager,2023-07-10,2023,0.0.1,2022-04-27,2022,https://pypi.org/project/boto-session-manager/,
smartystreets-python-sdk,4.12.0,pip install smartystreets-python-sdk,2023-07-06,2023,0.0.0,2022-08-01,2022,https://pypi.org/project/smartystreets-python-sdk/,
iterproxy,0.2.1,pip install iterproxy,2023-01-16,2023,0.1.1,2022-12-26,2022,https://pypi.org/project/iterproxy/,
types-pyserial,3.5.0.9,pip install types-pyserial,2023-07-20,2023,3.5.0.0,2022-12-22,2022,https://pypi.org/project/types-pyserial/,
pyglove,0.4.2,pip install pyglove,2023-07-28,2023,0.1.0.dev20220830,2022-08-31,2022,https://pypi.org/project/pyglove/,https://pyglove.readthedocs.io/en/latest/index.html
snowflake-snowpark-python,1.6.1,pip install snowflake-snowpark-python,2023-08-03,2023,0.6.0,2022-06-07,2022,https://pypi.org/project/snowflake-snowpark-python/,
looseversion,1.3.0,pip install looseversion,2023-07-05,2023,1.0.0,2022-05-11,2022,https://pypi.org/project/looseversion/,
unstructured,0.10.4,pip install unstructured,2023-08-18,2023,0.0.1.dev0,2022-09-06,2022,https://pypi.org/project/unstructured/,
lightning,2.0.7,pip install lightning,2023-08-16,2023,1.8.0rc1,2022-10-27,2022,https://pypi.org/project/lightning/,https://lightning.ai/docs/pytorch/latest/
wiki-fetch,0.1.1,pip install wiki-fetch,2023-02-23,2023,0.0.0,2022-12-08,2022,https://pypi.org/project/wiki-fetch/,
databricks-feature-store,0.14.1,pip install databricks-feature-store,2023-08-17,2023,0.6.1rc1,2022-08-18,2022,https://pypi.org/project/databricks-feature-store/,
rembg,2.0.50,pip install rembg,2023-07-13,2023,2.0.28,2022-11-24,2022,https://pypi.org/project/rembg/,
onnxsim,0.4.33,pip install onnxsim,2023-06-26,2023,0.4.0,2022-07-07,2022,https://pypi.org/project/onnxsim/,
prefect-dask,0.2.4,pip install prefect-dask,2023-04-28,2023,0.1.0,2022-06-07,2022,https://pypi.org/project/prefect-dask/,https://prefecthq.github.io/prefect-dask/
azure-ai-ml,1.9.0,pip install azure-ai-ml,2023-07-26,2023,0.1.0b1,2022-05-18,2022,https://pypi.org/project/azure-ai-ml/,
tracerite,1.1.0,pip install tracerite,2023-03-28,2023,1.0.1,2023-02-16,2023,https://pypi.org/project/tracerite/,
tsdownsample,0.1.2,pip install tsdownsample,2023-04-23,2023,0.1.0a0,2022-11-22,2022,https://pypi.org/project/tsdownsample/,
llama-cpp-python,0.1.78,pip install llama-cpp-python,2023-08-18,2023,0.1.1,2023-03-23,2023,https://pypi.org/project/llama-cpp-python/,
