package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
debugpy,1.6.6,1.6.7,1.6.7,An implementation of the Debug Adapter Protocol for Python,MIT,Anaconda,,,,12075781.0
decorator,4.4.2,5.1.1,5.1.1,Better living through Python with decorators.,BSD-2-Clause,Anaconda,,,,62528086.0
defusedxml,0.7.1,0.7.1,0.7.1,XML bomb protection for Python stdlib modules,PSF 2.0,Anaconda,,,,18745882.0
distributed,2023.8.0,2023.7.0,,Distributed computing with Dask,BSD-3-Clause,Anaconda,,,,4469681.0
distro,1.7.0,,1.7.0,,,,,,,9568895.0
dlib,19.24.2,,,,,,,,,123066.0
dm-tree,0.1.8,0.1.8,,,,,,,,1554507.0
docutils,0.18.1,0.20.1,,Docutils -- Python Documentation Utilities,LicenseRef-Public-Domain-Dedictation and BSD-2-Clause and LicenseRef-PSF-2.1.1 and GPL-3.0-or-later,Anaconda,,,,69853410.0
dopamine-rl,4.0.6,,,,,,,,,
duckdb,0.8.1,,,,,,,,,1174737.0
earthengine-api,0.1.363,0.1.358,,,,,,,,
easydict,1.10,1.10,,,,,,,,333011.0
ecos,2.0.12,2.0.12,,Python interface for ECOS a lightweight conic solver for second-order cone programming,GPL-3.0-only,Anaconda,,,,466472.0
editdistance,0.6.2,,,,,,Fast implementation of the edit distance(Levenshtein distance),,PyPI,602922.0
en-core-web-sm,3.6.0,3.6.0,,,,,,,,
entrypoints,0.4,0.4,0.4,Discover and load entry points from installed packages.,MIT License,Anaconda,,,,14383540.0
ephem,4.1.4,4.1.4,,Basic astronomical computations for Python,MIT,Anaconda,,,,2072508.0
et-xmlfile,1.1.0,1.1.0,1.1.0,,,,An implementation of lxml.xmlfile for the standard library,MIT,PyPI,56026654.0
etils,1.4.1,1.3.0,,,,,,,,835163.0
etuples,0.3.9,,,,,,,,,123564.0
exceptiongroup,1.1.3,1.1.1,1.1.1,,,,,,,60149488.0
fastai,2.7.12,2.7.12,,,,,"fastai makes deep learning with PyTorch faster, more accurate, and easier",Apache Software License 2.0,PyPI,324348.0
fastcore,1.5.29,1.5.29,,,,,,,,616338.0
fastdownload,0.0.7,0.0.7,,,,,,,,211338.0
fastjsonschema,2.18.0,2.17.1,2.17.1,,,,,,,14594195.0
fastprogress,1.0.3,1.0.3,,,,,A nested progress with plotting options for fastai,Apache License 2.0,PyPI,753051.0
fastrlock,0.8.1,,,,,,,,,93414.0
filelock,3.12.2,3.12.2,3.12.2,A platform independent file lock.,Unlicense,Anaconda,,,,66744245.0
firebase-admin,5.3.0,,,,,,,,,1707111.0
flatbuffers,23.5.26,23.5.26,,,,,,,,10646496.0
flax,0.7.2,0.7.0,,,,,,,,713979.0
folium,0.14.0,0.14.0,,,,,Make beautiful maps with Leaflet.js & Python,MIT,PyPI,584944.0
fonttools,4.42.0,4.40.0,4.29.1,"fontTools is a library for manipulating fonts, written in Python.",MIT,Anaconda,,,,22623117.0
frozendict,2.3.8,2.3.8,,,,,,,,1930070.0
frozenlist,1.4.0,1.3.3,1.3.3,A list-like structure which implements collections.abc.MutableSequence,Apache-2.0,Anaconda,,,,56234840.0
fsspec,2023.6.0,2023.6.0,2023.6.0,A specification for pythonic filesystems,BSD-3-Clause,Anaconda,File-system specification,BSD,PyPI,119642971.0
future,0.18.3,0.18.3,0.18.2,Clean single-source support for Python 3 and 2,MIT,Anaconda,,,,30520773.0
gast,0.4.0,0.4.0,0.5.2,,,,Python AST that abstracts the underlying Python version,BSD 3-Clause,PyPI,11958142.0
gcsfs,2023.6.0,2023.6.0,,,,,,,,7478876.0
gdown,4.6.6,,,,,,,,,1334602.0
gensim,4.3.1,4.3.1,,Topic Modelling for Humans,LGPL-2.1-only,Anaconda,,,,3731846.0
geographiclib,2.0,2.0,,,,,The geodesic routines from GeographicLib,MIT,PyPI,3737027.0
geopandas,0.13.2,0.13.2,,,,,Geographic pandas extensions,BSD,PyPI,5022847.0
geopy,2.3.0,2.3.0,,,,,Python Geocoding Toolbox,MIT,PyPI,3731891.0
gin-config,0.5.0,,,,,,,,,401635.0
glob2,0.7,,,,,,,,,938572.0
google,2.0.3,,,,,,,,,2037663.0
google-api-core,2.11.1,2.11.1,2.11.0,,,,Google API client core library,Apache 2.0,PyPI,185248986.0
google-api-python-client,2.84.0,2.92.0,,,,,Google API Client Library for Python,Apache 2.0,PyPI,45561366.0
